"Station","Date","Daily.Rainfall.Total..mm.","Longitude","Latitude"
"Botanic Garden",2018-04-24,15.6,103.818,1.3087
"Botanic Garden",2018-04-25,0,103.818,1.3087
"Botanic Garden",2018-04-26,2.8,103.818,1.3087
"Botanic Garden",2018-04-27,21.4,103.818,1.3087
"Botanic Garden",2018-04-28,0,103.818,1.3087
"Botanic Garden",2018-04-29,0,103.818,1.3087
"Botanic Garden",2018-04-30,0,103.818,1.3087
"Botanic Garden",2018-05-01,16.6,103.818,1.3087
"Botanic Garden",2018-05-02,3.6,103.818,1.3087
"Botanic Garden",2018-05-03,10.4,103.818,1.3087
"Botanic Garden",2018-05-04,0,103.818,1.3087
"Botanic Garden",2018-05-05,0,103.818,1.3087
"Botanic Garden",2018-05-06,0,103.818,1.3087
"Botanic Garden",2018-05-07,0,103.818,1.3087
"Botanic Garden",2018-05-08,0,103.818,1.3087
"Botanic Garden",2018-05-09,0,103.818,1.3087
"Botanic Garden",2018-05-10,0,103.818,1.3087
"Botanic Garden",2018-05-11,0.2,103.818,1.3087
"Botanic Garden",2018-05-12,0,103.818,1.3087
"Botanic Garden",2018-05-13,1.6,103.818,1.3087
"Botanic Garden",2018-05-14,12,103.818,1.3087
"Botanic Garden",2018-05-15,5.8,103.818,1.3087
"Botanic Garden",2018-05-16,0.4,103.818,1.3087
"Botanic Garden",2018-05-17,0,103.818,1.3087
"Botanic Garden",2018-05-18,1.2,103.818,1.3087
"Botanic Garden",2018-05-19,18.4,103.818,1.3087
"Botanic Garden",2018-05-20,35.6,103.818,1.3087
"Botanic Garden",2018-05-21,0,103.818,1.3087
"Botanic Garden",2018-05-22,1.6,103.818,1.3087
"Botanic Garden",2018-05-23,9,103.818,1.3087
"Botanic Garden",2018-05-24,0.4,103.818,1.3087
"Botanic Garden",2018-05-25,5.4,103.818,1.3087
"Botanic Garden",2018-05-26,66.2,103.818,1.3087
"Botanic Garden",2018-05-27,2.2,103.818,1.3087
"Botanic Garden",2018-05-28,7.2,103.818,1.3087
"Botanic Garden",2018-05-29,4.8,103.818,1.3087
"Botanic Garden",2018-05-30,15.6,103.818,1.3087
"Botanic Garden",2018-05-31,0.8,103.818,1.3087
"Botanic Garden",2018-06-01,31,103.818,1.3087
"Botanic Garden",2018-06-02,21.8,103.818,1.3087
"Botanic Garden",2018-06-03,0,103.818,1.3087
"Botanic Garden",2018-06-04,0.4,103.818,1.3087
"Botanic Garden",2018-06-05,0,103.818,1.3087
"Botanic Garden",2018-06-06,0,103.818,1.3087
"Botanic Garden",2018-06-07,0,103.818,1.3087
"Botanic Garden",2018-06-08,36.4,103.818,1.3087
"Botanic Garden",2018-06-09,0,103.818,1.3087
"Botanic Garden",2018-06-10,0,103.818,1.3087
"Botanic Garden",2018-06-11,0,103.818,1.3087
"Botanic Garden",2018-06-12,0,103.818,1.3087
"Botanic Garden",2018-06-13,17.6,103.818,1.3087
"Botanic Garden",2018-06-14,0,103.818,1.3087
"Botanic Garden",2018-06-15,11.2,103.818,1.3087
"Botanic Garden",2018-06-16,0.2,103.818,1.3087
"Botanic Garden",2018-06-17,0,103.818,1.3087
"Botanic Garden",2018-06-18,17,103.818,1.3087
"Botanic Garden",2018-06-19,2.4,103.818,1.3087
"Botanic Garden",2018-06-20,14.6,103.818,1.3087
"Botanic Garden",2018-06-21,0,103.818,1.3087
"Botanic Garden",2018-06-22,1,103.818,1.3087
"Botanic Garden",2018-06-23,6,103.818,1.3087
"Botanic Garden",2018-06-24,15.6,103.818,1.3087
"Botanic Garden",2018-06-25,3,103.818,1.3087
"Botanic Garden",2018-06-26,72.4,103.818,1.3087
"Botanic Garden",2018-06-27,4.8,103.818,1.3087
"Botanic Garden",2018-06-28,0,103.818,1.3087
"Botanic Garden",2018-06-29,40.8,103.818,1.3087
"Botanic Garden",2018-06-30,0,103.818,1.3087
"Botanic Garden",2018-07-01,1,103.818,1.3087
"Botanic Garden",2018-07-02,1.6,103.818,1.3087
"Botanic Garden",2018-07-03,1.6,103.818,1.3087
"Botanic Garden",2018-07-04,0.2,103.818,1.3087
"Botanic Garden",2018-07-05,0,103.818,1.3087
"Botanic Garden",2018-07-06,0,103.818,1.3087
"Botanic Garden",2018-07-07,0,103.818,1.3087
"Botanic Garden",2018-07-08,0,103.818,1.3087
"Botanic Garden",2018-07-09,0.2,103.818,1.3087
"Botanic Garden",2018-07-10,11.4,103.818,1.3087
"Botanic Garden",2018-07-11,0,103.818,1.3087
"Botanic Garden",2018-07-12,0,103.818,1.3087
"Botanic Garden",2018-07-13,0,103.818,1.3087
"Botanic Garden",2018-07-14,0,103.818,1.3087
"Botanic Garden",2018-07-15,21.6,103.818,1.3087
"Botanic Garden",2018-07-16,0,103.818,1.3087
"Botanic Garden",2018-07-17,0,103.818,1.3087
"Botanic Garden",2018-07-18,0.6,103.818,1.3087
"Botanic Garden",2018-07-19,12.4,103.818,1.3087
"Botanic Garden",2018-07-20,10,103.818,1.3087
"Botanic Garden",2018-07-21,11.8,103.818,1.3087
"Botanic Garden",2018-07-22,1.2,103.818,1.3087
"Botanic Garden",2018-07-23,0,103.818,1.3087
"Botanic Garden",2018-07-24,0,103.818,1.3087
"Botanic Garden",2018-07-25,2.6,103.818,1.3087
"Botanic Garden",2018-07-26,0,103.818,1.3087
"Botanic Garden",2018-07-27,0,103.818,1.3087
"Botanic Garden",2018-07-28,0,103.818,1.3087
"Botanic Garden",2018-07-29,0,103.818,1.3087
"Botanic Garden",2018-07-30,18.6,103.818,1.3087
"Botanic Garden",2018-07-31,0.4,103.818,1.3087
"Botanic Garden",2018-08-01,1.2,103.818,1.3087
"Botanic Garden",2018-08-02,0,103.818,1.3087
"Botanic Garden",2018-08-03,0,103.818,1.3087
"Botanic Garden",2018-08-04,0.2,103.818,1.3087
"Botanic Garden",2018-08-05,11.8,103.818,1.3087
"Botanic Garden",2018-08-06,0,103.818,1.3087
"Botanic Garden",2018-08-07,0,103.818,1.3087
"Botanic Garden",2018-08-08,3,103.818,1.3087
"Botanic Garden",2018-08-09,0,103.818,1.3087
"Botanic Garden",2018-08-10,0,103.818,1.3087
"Botanic Garden",2018-08-11,0,103.818,1.3087
"Botanic Garden",2018-08-12,0,103.818,1.3087
"Botanic Garden",2018-08-13,0,103.818,1.3087
"Botanic Garden",2018-08-14,2,103.818,1.3087
"Botanic Garden",2018-08-15,0,103.818,1.3087
"Botanic Garden",2018-08-16,0,103.818,1.3087
"Botanic Garden",2018-08-17,26,103.818,1.3087
"Botanic Garden",2018-08-18,0.2,103.818,1.3087
"Botanic Garden",2018-08-19,0,103.818,1.3087
"Botanic Garden",2018-08-20,0,103.818,1.3087
"Botanic Garden",2018-08-21,0,103.818,1.3087
